epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3928,2.46572,5.15335,1.94109,0.00097,0.13837,0.01703,0.00605,2.42247,5.16517,1.95964,0.000408333,0.000408333,0.000408333
2,174.82,2.39763,4.20655,1.92662,0.72117,0.04007,0.07798,0.02267,2.6428,4.61662,2.11634,0.000743325,0.000743325,0.000743325
3,234.962,2.428,3.93312,1.94225,0.44136,0.1404,0.14306,0.04945,2.68327,4.64451,2.28248,0.000995817,0.000995817,0.000995817
4,293.811,2.45423,3.61084,1.96627,0.25938,0.28983,0.20953,0.06917,2.68619,3.95453,2.24764,0.00087875,0.00087875,0.00087875
5,355.762,2.36656,3.27525,1.9904,0.3389,0.23011,0.18796,0.06199,2.53271,4.04608,2.09017,0.000755,0.000755,0.000755
6,631.74,2.33638,3.02882,1.93706,0.31325,0.31078,0.23292,0.07833,2.54341,3.26824,2.16343,0.00063125,0.00063125,0.00063125
7,692.015,2.27431,2.88844,1.89045,0.23737,0.24905,0.21171,0.06453,2.6086,3.19478,2.12897,0.0005075,0.0005075,0.0005075
8,751.458,2.22932,2.73917,1.85104,0.30289,0.29393,0.25893,0.07782,2.53612,3.08661,2.04139,0.00038375,0.00038375,0.00038375
9,812.69,2.18676,2.62676,1.81591,0.34728,0.32492,0.2749,0.09478,2.47218,2.95214,2.01337,0.00026,0.00026,0.00026
10,872.444,2.12283,2.53285,1.80614,0.57224,0.3094,0.30573,0.10139,2.46863,2.86432,1.99441,0.00013625,0.00013625,0.00013625
