epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2804.99,1.77615,1.66078,1.51021,0.36732,0.35079,0.28628,0.11321,2.43819,2.62955,2.07128,0.0005941,0.0005941,0.0005941
43,2870.34,1.81158,1.67603,1.51347,0.44151,0.3688,0.31445,0.11164,2.4379,2.5723,2.05582,0.0005842,0.0005842,0.0005842
44,2936.07,1.76973,1.6203,1.51214,0.51057,0.3367,0.33858,0.11234,2.48024,2.59187,2.07772,0.0005743,0.0005743,0.0005743
45,3001.47,1.7509,1.64881,1.50055,0.44639,0.29767,0.26821,0.09406,2.51987,2.72971,2.07995,0.0005644,0.0005644,0.0005644
46,3067.18,1.77255,1.60698,1.48063,0.47058,0.34289,0.32722,0.11311,2.50464,2.6262,2.06753,0.0005545,0.0005545,0.0005545
47,3132.65,1.76194,1.62262,1.50094,0.49242,0.36039,0.35192,0.12321,2.3671,2.58551,2.03427,0.0005446,0.0005446,0.0005446
48,3198.75,1.72452,1.56416,1.48187,0.45161,0.32806,0.31677,0.11269,2.47196,2.56889,2.10661,0.0005347,0.0005347,0.0005347
49,3264.2,1.72516,1.55255,1.47446,0.53003,0.33784,0.34151,0.1139,2.40805,2.53931,2.07487,0.0005248,0.0005248,0.0005248
50,3329.98,1.7117,1.54324,1.46323,0.4189,0.32068,0.27081,0.10179,2.44075,2.76254,2.06543,0.0005149,0.0005149,0.0005149
51,3395.67,1.71496,1.52847,1.46171,0.38868,0.35503,0.27469,0.09909,2.43811,2.79778,2.01383,0.000505,0.000505,0.000505
52,3461.17,1.70971,1.50429,1.457,0.44017,0.29958,0.29343,0.11268,2.49466,2.64639,2.11465,0.0004951,0.0004951,0.0004951
53,3528.16,1.71138,1.49986,1.48673,0.34259,0.36311,0.29583,0.11017,2.455,2.71519,2.07235,0.0004852,0.0004852,0.0004852
54,3595.1,1.66436,1.48656,1.44597,0.49241,0.27226,0.29549,0.10429,2.5039,2.75094,2.06041,0.0004753,0.0004753,0.0004753
55,3661.1,1.67225,1.446,1.4435,0.3667,0.31177,0.28026,0.10538,2.47561,2.74502,2.05654,0.0004654,0.0004654,0.0004654
56,3726.5,1.68574,1.48652,1.45715,0.53682,0.33764,0.33806,0.12035,2.43068,2.59304,2.06721,0.0004555,0.0004555,0.0004555
57,3792.26,1.69013,1.47648,1.4597,0.49933,0.36692,0.34394,0.12422,2.49041,2.61366,2.12423,0.0004456,0.0004456,0.0004456
58,3858.54,1.69002,1.48374,1.44581,0.47868,0.35189,0.34694,0.12774,2.48713,2.57478,2.07474,0.0004357,0.0004357,0.0004357
59,3924.14,1.66566,1.43957,1.43949,0.4495,0.33697,0.32109,0.12548,2.44597,2.63955,2.06962,0.0004258,0.0004258,0.0004258
60,3990.66,1.63936,1.41647,1.4126,0.50491,0.35016,0.32845,0.13498,2.4278,2.576,2.05102,0.0004159,0.0004159,0.0004159
61,4056.3,1.62697,1.407,1.41134,0.46768,0.37302,0.345,0.11898,2.5043,2.64383,2.09418,0.000406,0.000406,0.000406
62,4121.98,1.64978,1.40014,1.41641,0.43684,0.37802,0.33295,0.12072,2.43217,2.70837,2.08796,0.0003961,0.0003961,0.0003961
63,4187.36,1.60298,1.39004,1.3969,0.43355,0.36753,0.31778,0.12315,2.51082,2.70934,2.11433,0.0003862,0.0003862,0.0003862
64,4253.01,1.60967,1.38214,1.38765,0.43682,0.34168,0.3118,0.11099,2.50792,2.69465,2.1132,0.0003763,0.0003763,0.0003763
65,4318.45,1.61659,1.36588,1.39845,0.40168,0.34639,0.28084,0.10463,2.4554,2.78057,2.11482,0.0003664,0.0003664,0.0003664
66,4384.03,1.58841,1.36279,1.37526,0.59025,0.3153,0.32379,0.12391,2.45946,2.65576,2.10648,0.0003565,0.0003565,0.0003565
67,4449.37,1.59037,1.3641,1.37687,0.40373,0.36171,0.26584,0.11268,2.40926,2.77165,2.09483,0.0003466,0.0003466,0.0003466
68,4515.45,1.56709,1.32268,1.37807,0.54232,0.29923,0.31564,0.12142,2.48383,2.65807,2.12778,0.0003367,0.0003367,0.0003367
69,4581.06,1.55128,1.31655,1.36249,0.39571,0.33965,0.31439,0.1146,2.49268,2.75609,2.14487,0.0003268,0.0003268,0.0003268
70,4648.09,1.55263,1.31943,1.35356,0.41458,0.33501,0.26757,0.1103,2.48975,2.70855,2.13139,0.0003169,0.0003169,0.0003169
71,4713.98,1.54559,1.289,1.38221,0.44004,0.33072,0.29578,0.11449,2.49927,2.73165,2.16773,0.000307,0.000307,0.000307
72,4780.06,1.55891,1.28451,1.36497,0.44585,0.3267,0.32566,0.12441,2.51703,2.66794,2.19104,0.0002971,0.0002971,0.0002971
73,4845.47,1.54033,1.31598,1.37561,0.42628,0.31786,0.2967,0.11829,2.53349,2.75868,2.17256,0.0002872,0.0002872,0.0002872
74,4911.05,1.52898,1.25311,1.34383,0.58299,0.29249,0.33555,0.11887,2.52345,2.72561,2.20308,0.0002773,0.0002773,0.0002773
75,4977.1,1.53412,1.25785,1.3632,0.50998,0.29421,0.32286,0.12012,2.51601,2.60889,2.21279,0.0002674,0.0002674,0.0002674
76,5042.38,1.48668,1.24686,1.33045,0.39085,0.35373,0.30775,0.11045,2.5492,2.69142,2.2065,0.0002575,0.0002575,0.0002575
77,5109.44,1.51894,1.25643,1.35207,0.45271,0.37045,0.34379,0.11679,2.52557,2.65787,2.22141,0.0002476,0.0002476,0.0002476
78,5175.05,1.49781,1.21853,1.3207,0.54672,0.30768,0.31672,0.11235,2.46568,2.70297,2.12148,0.0002377,0.0002377,0.0002377
79,5242.77,1.48454,1.2156,1.31618,0.38798,0.35282,0.28469,0.10466,2.45231,2.75258,2.09218,0.0002278,0.0002278,0.0002278
80,5308.29,1.47166,1.20314,1.3218,0.39864,0.36508,0.29068,0.0967,2.51527,2.71701,2.15997,0.0002179,0.0002179,0.0002179
