epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.937,2.5276,3.81287,1.97098,0.37152,0.10071,0.10738,0.03427,2.72817,3.62398,2.3088,0.0672357,0.000330952,0.000330952
2,93.1893,2.42331,3.17339,1.96326,0.12079,0.07721,0.06801,0.02351,2.76633,3.76831,2.58195,0.0342248,0.000653325,0.000653325
3,137.329,2.44448,3.04291,1.99666,0.24611,0.14639,0.13193,0.03988,2.6496,3.31898,2.119,0.00120279,0.000964698,0.000964698
4,181.454,2.39913,2.90638,1.91845,0.3902,0.12299,0.14294,0.04519,2.61501,2.94771,2.23067,0.0009505,0.0009505,0.0009505
5,225.987,2.38634,2.82753,1.95324,0.14597,0.18832,0.13158,0.04739,2.61563,3.22103,2.18571,0.000934,0.000934,0.000934
6,270.562,2.33295,2.77583,1.89945,0.23862,0.19572,0.16,0.04882,2.66479,3.08368,2.19061,0.0009175,0.0009175,0.0009175
7,314.868,2.29727,2.72575,1.89221,0.30933,0.21512,0.19105,0.06597,2.55194,3.04284,2.16598,0.000901,0.000901,0.000901
8,359.079,2.26805,2.60093,1.86599,0.35263,0.19929,0.23573,0.06734,2.55948,3.04648,2.10572,0.0008845,0.0008845,0.0008845
9,403.196,2.27561,2.60571,1.86671,0.26414,0.24598,0.19932,0.06529,2.53978,2.71271,2.10994,0.000868,0.000868,0.000868
10,447.344,2.20294,2.54522,1.82615,0.2983,0.27627,0.2164,0.06166,2.54286,2.74887,2.0962,0.0008515,0.0008515,0.0008515
11,491.436,2.1898,2.47133,1.78799,0.25243,0.24072,0.1936,0.05368,2.48286,2.80416,2.05735,0.000835,0.000835,0.000835
12,535.72,2.19025,2.47925,1.80581,0.48321,0.19721,0.25832,0.08731,2.50948,2.70004,2.11501,0.0008185,0.0008185,0.0008185
13,579.805,2.18585,2.42059,1.79675,0.73756,0.20438,0.24244,0.08387,2.50977,2.59296,2.05638,0.000802,0.000802,0.000802
14,623.893,2.11049,2.41312,1.77655,0.35085,0.23582,0.24617,0.07548,2.43293,2.59807,2.03203,0.0007855,0.0007855,0.0007855
15,667.927,2.10108,2.33251,1.75373,0.36154,0.29412,0.25338,0.09201,2.39798,2.53702,2.03561,0.000769,0.000769,0.000769
16,711.889,2.09358,2.27903,1.77122,0.27112,0.32405,0.218,0.06964,2.47342,2.61859,2.06861,0.0007525,0.0007525,0.0007525
17,755.946,2.11708,2.32564,1.7447,0.23345,0.24996,0.21404,0.07781,2.4544,2.69836,2.09867,0.000736,0.000736,0.000736
18,800.11,2.01714,2.24082,1.69149,0.39223,0.25627,0.25202,0.0854,2.4081,2.6364,2.02602,0.0007195,0.0007195,0.0007195
19,844.176,2.05257,2.22522,1.71679,0.47294,0.3301,0.28773,0.09296,2.38692,2.45836,2.01748,0.000703,0.000703,0.000703
20,888.343,2.03086,2.13585,1.66361,0.47933,0.25994,0.29527,0.08918,2.44734,2.46883,2.03132,0.0006865,0.0006865,0.0006865
21,932.928,2.00542,2.18624,1.67529,0.31667,0.25991,0.25086,0.08383,2.4311,2.60512,1.98828,0.00067,0.00067,0.00067
22,976.88,1.98207,2.19624,1.66485,0.35983,0.27539,0.28384,0.09616,2.41749,2.58244,1.99151,0.0006535,0.0006535,0.0006535
23,1021.06,2.00204,2.09468,1.66429,0.44068,0.26782,0.29244,0.10133,2.377,2.50596,2.00697,0.000637,0.000637,0.000637
24,1065.15,1.94328,2.08597,1.65565,0.43807,0.21766,0.24784,0.08903,2.32714,2.65739,1.97482,0.0006205,0.0006205,0.0006205
25,1109.35,1.93927,2.05336,1.6246,0.36616,0.24244,0.26347,0.09942,2.37101,2.53729,1.93204,0.000604,0.000604,0.000604
26,1153.41,1.96327,2.02069,1.65174,0.29657,0.22877,0.21757,0.07371,2.48426,2.61714,2.06598,0.0005875,0.0005875,0.0005875
27,1197.55,1.93605,1.99903,1.64187,0.59831,0.25619,0.32804,0.11736,2.41798,2.38909,1.99352,0.000571,0.000571,0.000571
28,1241.62,1.9423,1.98531,1.62559,0.39311,0.26895,0.28343,0.09139,2.40442,2.51567,1.99974,0.0005545,0.0005545,0.0005545
29,1285.63,1.9376,1.95495,1.61497,0.37485,0.32735,0.2495,0.0815,2.48677,2.81894,2.05985,0.000538,0.000538,0.000538
30,1329.84,1.86308,1.89853,1.56636,0.54996,0.26985,0.32769,0.11958,2.35759,2.40832,1.94552,0.0005215,0.0005215,0.0005215
31,1373.94,1.89306,1.92692,1.6094,0.48203,0.28814,0.32806,0.11693,2.3869,2.52856,1.9944,0.000505,0.000505,0.000505
32,1417.95,1.88263,1.82722,1.5946,0.38878,0.3238,0.28253,0.10898,2.46429,2.58295,2.045,0.0004885,0.0004885,0.0004885
33,1462.04,1.87773,1.84808,1.58314,0.65306,0.22437,0.30335,0.10271,2.4094,2.44781,1.98263,0.000472,0.000472,0.000472
34,1506.58,1.87639,1.88296,1.57255,0.35126,0.32534,0.2754,0.09631,2.35608,2.59308,1.99629,0.0004555,0.0004555,0.0004555
35,1550.88,1.85914,1.83902,1.5584,0.51514,0.28305,0.31942,0.10889,2.39291,2.48449,1.96671,0.000439,0.000439,0.000439
36,1594.97,1.85172,1.81523,1.57056,0.35171,0.29672,0.27351,0.09002,2.41971,2.53853,2.02701,0.0004225,0.0004225,0.0004225
37,1638.99,1.80769,1.78173,1.55041,0.41383,0.3276,0.26454,0.09281,2.44574,2.59906,1.99563,0.000406,0.000406,0.000406
38,1683.06,1.81824,1.76534,1.53792,0.34048,0.33246,0.31184,0.11377,2.35232,2.44591,1.96939,0.0003895,0.0003895,0.0003895
39,1727.11,1.78375,1.73954,1.54391,0.38597,0.30846,0.28058,0.09395,2.41748,2.59861,2.0142,0.000373,0.000373,0.000373
40,1771.22,1.78306,1.65762,1.49706,0.39764,0.35371,0.29609,0.10053,2.39865,2.61816,2.00655,0.0003565,0.0003565,0.0003565
41,1815.47,1.78198,1.66922,1.51704,0.38971,0.34116,0.31113,0.11166,2.28536,2.4292,1.91826,0.00034,0.00034,0.00034
42,1859.54,1.761,1.67585,1.51186,0.40572,0.29997,0.30104,0.10832,2.45022,2.46237,2.06705,0.0003235,0.0003235,0.0003235
43,1903.68,1.76145,1.70301,1.5196,0.44341,0.3347,0.32965,0.1189,2.34084,2.50972,1.94931,0.000307,0.000307,0.000307
44,1947.82,1.78008,1.65969,1.51355,0.43655,0.31978,0.31641,0.11466,2.35427,2.54319,1.98019,0.0002905,0.0002905,0.0002905
45,1991.84,1.74348,1.63808,1.5055,0.29595,0.34052,0.25411,0.10152,2.39224,2.73463,2.01223,0.000274,0.000274,0.000274
46,2035.86,1.74014,1.60542,1.49022,0.37375,0.35075,0.25932,0.09812,2.37402,2.51057,2.01336,0.0002575,0.0002575,0.0002575
