epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,718.772,2.52016,3.33495,2.05384,0.88802,0.05,0.06762,0.02089,2.87969,3.95067,2.52471,0.0672481,0.000330827,0.000330827
2,1292.69,2.59274,3.17676,2.199,0.56472,0.13214,0.04329,0.01083,2.86303,6.68641,2.63343,0.0342415,0.000657585,0.000657585
3,1921.15,2.65521,3.16388,2.19649,0.66349,0.11273,0.1059,0.0358,2.81954,5.39235,2.51873,0.00122837,0.000977743,0.000977743
4,2500.84,2.58512,3.17729,2.22864,0.15017,0.18837,0.12182,0.04198,2.72593,5.01798,2.4947,0.0009703,0.0009703,0.0009703
5,3180.23,2.56543,2.95902,2.14965,0.37837,0.17254,0.16328,0.04741,2.72452,3.26901,2.36555,0.0009604,0.0009604,0.0009604
6,3771.66,2.51963,3.03788,2.15082,0.46481,0.14481,0.13063,0.03965,2.662,3.37553,2.31106,0.0009505,0.0009505,0.0009505
7,4434.68,2.47115,2.93724,2.09239,0.3437,0.16445,0.17127,0.04965,2.6735,4.05345,2.28665,0.0009406,0.0009406,0.0009406
8,5268.3,2.49453,2.92627,2.11742,0.1334,0.21045,0.11926,0.03482,2.56771,3.04067,2.2233,0.0009307,0.0009307,0.0009307
9,5879.86,2.41366,2.75637,2.02267,0.66878,0.14975,0.13335,0.03719,2.64886,3.26903,2.26943,0.0009208,0.0009208,0.0009208
10,6486.65,2.43548,2.78138,2.08275,0.68335,0.13036,0.14071,0.04621,2.53308,3.16931,2.23834,0.0009109,0.0009109,0.0009109
11,7201.78,2.35381,2.7353,1.99316,0.51241,0.1763,0.16029,0.04448,2.52806,3.08898,2.24224,0.000901,0.000901,0.000901
12,7793.04,2.38839,2.62294,2.03352,0.39641,0.16851,0.16645,0.06491,2.49745,3.13255,2.24235,0.0008911,0.0008911,0.0008911
13,8531.2,2.32722,2.59346,1.9846,0.47762,0.20998,0.18675,0.06458,2.49165,2.88885,2.22123,0.0008812,0.0008812,0.0008812
14,9092.38,2.31296,2.61575,1.96085,0.23734,0.14821,0.1626,0.05921,2.43601,2.88981,2.13704,0.0008713,0.0008713,0.0008713
15,9805.89,2.2707,2.56061,1.97153,0.45107,0.24188,0.15908,0.05496,2.39899,2.96463,2.13699,0.0008614,0.0008614,0.0008614
16,10411.6,2.28405,2.59634,1.94518,0.46133,0.29123,0.21665,0.08504,2.40073,2.80147,2.1255,0.0008515,0.0008515,0.0008515
17,11085.9,2.25129,2.4884,1.91388,0.48563,0.21802,0.18458,0.06769,2.47398,2.90397,2.15991,0.0008416,0.0008416,0.0008416
18,11763.6,2.19983,2.51721,1.90931,0.21221,0.18101,0.16263,0.05907,2.46737,2.95829,2.14955,0.0008317,0.0008317,0.0008317
19,12392,2.23508,2.44239,1.89299,0.33878,0.24586,0.24599,0.07144,2.39249,2.70164,2.13333,0.0008218,0.0008218,0.0008218
20,12984.1,2.20854,2.37874,1.86048,0.23125,0.30331,0.18923,0.05799,2.49613,3.68224,2.23706,0.0008119,0.0008119,0.0008119
21,13620.3,2.17588,2.37181,1.88979,0.21127,0.26914,0.16766,0.05796,2.45219,2.93901,2.22725,0.000802,0.000802,0.000802
22,14260.3,2.19193,2.34357,1.85753,0.26274,0.27584,0.20857,0.07363,2.48976,2.69884,2.15355,0.0007921,0.0007921,0.0007921
23,14881.3,2.20289,2.34781,1.85727,0.46935,0.23693,0.17795,0.05984,2.52913,2.72648,2.17786,0.0007822,0.0007822,0.0007822
24,15676.5,2.20936,2.37162,1.84857,0.33692,0.24663,0.22196,0.07038,2.40535,2.76878,2.12568,0.0007723,0.0007723,0.0007723
25,16422.7,2.15749,2.34598,1.83197,0.50868,0.29415,0.25335,0.08757,2.44305,2.80693,2.12472,0.0007624,0.0007624,0.0007624
26,17106.4,2.15778,2.33334,1.85381,0.31116,0.33521,0.26513,0.09404,2.34064,2.72663,2.06405,0.0007525,0.0007525,0.0007525
27,17827.5,2.10711,2.30991,1.83534,0.28296,0.30676,0.24028,0.08186,2.37646,2.7965,2.06001,0.0007426,0.0007426,0.0007426
28,18497.4,2.13098,2.38434,1.81534,0.50357,0.33734,0.23524,0.07503,2.38188,2.85017,2.08365,0.0007327,0.0007327,0.0007327
29,19120.4,2.16634,2.31237,1.8212,0.33305,0.28045,0.23357,0.07309,2.498,2.72481,2.18799,0.0007228,0.0007228,0.0007228
