epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7510.51,1.84889,1.66163,1.54768,0.37361,0.33056,0.311,0.12104,2.42435,2.40416,1.93339,0.0002294,0.0002294,0.0002294
43,7688.19,1.78154,1.72048,1.52867,0.43519,0.33184,0.31615,0.11422,2.52793,2.86642,1.99076,0.0002228,0.0002228,0.0002228
44,7865.93,1.78482,1.68235,1.52571,0.43068,0.39897,0.34343,0.12256,2.43654,2.43696,1.9563,0.0002162,0.0002162,0.0002162
45,8043.43,1.78698,1.68637,1.55167,0.4344,0.42996,0.34994,0.1325,2.4888,2.58538,1.98203,0.0002096,0.0002096,0.0002096
46,8222.2,1.75457,1.62928,1.54439,0.37291,0.35918,0.30793,0.12594,2.42352,2.41515,1.93236,0.000203,0.000203,0.000203
47,8399.99,1.74118,1.67028,1.54106,0.39831,0.36932,0.32282,0.12455,2.51781,2.37573,2.00572,0.0001964,0.0001964,0.0001964
48,8579.21,1.71016,1.55141,1.51212,0.39024,0.41305,0.31404,0.12763,2.40413,2.47684,1.96287,0.0001898,0.0001898,0.0001898
49,8760.03,1.75556,1.61379,1.53434,0.4102,0.38876,0.3144,0.12147,2.4757,2.44784,1.99252,0.0001832,0.0001832,0.0001832
50,8937.45,1.70902,1.57694,1.5035,0.45689,0.37869,0.34056,0.12586,2.53617,2.32907,2.02788,0.0001766,0.0001766,0.0001766
51,9122.73,1.71199,1.53324,1.47595,0.44619,0.35925,0.3061,0.11267,2.50086,2.45555,1.9792,0.00017,0.00017,0.00017
52,9319.73,1.70654,1.51961,1.48123,0.39116,0.36302,0.29973,0.11354,2.48049,2.49141,2.01256,0.0001634,0.0001634,0.0001634
53,9496.73,1.68939,1.51491,1.4946,0.38155,0.33912,0.2836,0.10729,2.51322,2.48584,2.02252,0.0001568,0.0001568,0.0001568
54,9674.06,1.63082,1.45816,1.44935,0.39191,0.3791,0.30683,0.11962,2.46519,2.44505,1.99857,0.0001502,0.0001502,0.0001502
55,9851.57,1.65226,1.45716,1.46619,0.49484,0.36704,0.34646,0.12534,2.51488,2.3762,2.05138,0.0001436,0.0001436,0.0001436
56,10029.2,1.67467,1.47804,1.47415,0.45289,0.33783,0.29406,0.1128,2.48389,2.6983,2.02559,0.000137,0.000137,0.000137
57,10206.8,1.6435,1.45004,1.48067,0.38681,0.36932,0.27824,0.11287,2.5259,3.47083,2.08455,0.0001304,0.0001304,0.0001304
58,10384.8,1.63616,1.39153,1.45627,0.41043,0.38295,0.31152,0.12041,2.48497,2.46031,2.03273,0.0001238,0.0001238,0.0001238
59,10562.4,1.63671,1.44683,1.44175,0.41475,0.3733,0.29887,0.11969,2.48626,2.62314,2.04865,0.0001172,0.0001172,0.0001172
60,10740.5,1.62904,1.44364,1.44526,0.37133,0.37599,0.29479,0.11762,2.50777,2.51146,2.08914,0.0001106,0.0001106,0.0001106
61,10917.9,1.60283,1.4115,1.41631,0.41021,0.31761,0.31698,0.12189,2.50814,2.60898,2.06488,0.000104,0.000104,0.000104
62,11095.5,1.60697,1.32695,1.42392,0.37458,0.372,0.29632,0.10807,2.52622,2.78405,2.09382,9.74e-05,9.74e-05,9.74e-05
63,11272.9,1.56858,1.33053,1.42111,0.38469,0.3517,0.28477,0.11289,2.49311,2.66532,2.05958,9.08e-05,9.08e-05,9.08e-05
64,11450.2,1.59103,1.34389,1.422,0.3591,0.41035,0.27564,0.09724,2.52358,3.97007,2.08738,8.42e-05,8.42e-05,8.42e-05
65,11627.6,1.5936,1.32317,1.41069,0.38965,0.38637,0.29863,0.10697,2.51067,3.00422,2.09085,7.76e-05,7.76e-05,7.76e-05
66,11805.2,1.55683,1.35912,1.41784,0.36057,0.35952,0.27131,0.10616,2.49527,3.01147,2.08165,7.1e-05,7.1e-05,7.1e-05
67,11983.9,1.58985,1.30123,1.42521,0.38254,0.38258,0.28356,0.11493,2.47705,2.96731,2.04528,6.44e-05,6.44e-05,6.44e-05
68,12164.4,1.55408,1.30058,1.41526,0.37669,0.34702,0.28077,0.11033,2.53539,2.80851,2.08349,5.78e-05,5.78e-05,5.78e-05
69,12345.5,1.53188,1.2854,1.3821,0.44563,0.33028,0.30729,0.11831,2.52323,2.47708,2.06445,5.12e-05,5.12e-05,5.12e-05
70,12522.9,1.52668,1.25529,1.40008,0.38676,0.34702,0.29043,0.11445,2.5372,2.73172,2.07645,4.46e-05,4.46e-05,4.46e-05
