epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2037.48,1.90446,1.75252,1.57116,0.56629,0.2691,0.31198,0.11393,2.5152,2.35076,1.99505,0.000742625,0.000742625,0.000742625
43,2085.17,1.90898,1.77386,1.56972,0.3492,0.37201,0.33345,0.10733,2.44196,2.46017,1.9579,0.00073025,0.00073025,0.00073025
44,2133.12,1.87462,1.75758,1.54455,0.68247,0.26056,0.30982,0.1075,2.43111,2.58715,2.03272,0.000717875,0.000717875,0.000717875
45,2180.98,1.90441,1.78152,1.59127,0.42932,0.27796,0.29326,0.10165,2.50739,2.46577,2.0533,0.0007055,0.0007055,0.0007055
46,2228.94,1.8597,1.75393,1.55714,0.41895,0.2873,0.32469,0.12684,2.46445,2.46891,1.99518,0.000693125,0.000693125,0.000693125
47,2276.9,1.86816,1.72585,1.55939,0.35014,0.33718,0.29454,0.1078,2.47954,2.58446,1.99452,0.00068075,0.00068075,0.00068075
48,2325.06,1.82499,1.66517,1.51748,0.45293,0.29577,0.32671,0.12241,2.50797,2.39003,2.01121,0.000668375,0.000668375,0.000668375
49,2373.48,1.83197,1.67416,1.52417,0.48031,0.32603,0.3267,0.11493,2.47508,2.49993,1.96264,0.000656,0.000656,0.000656
50,2421.51,1.86579,1.67471,1.54383,0.32268,0.41797,0.32683,0.11512,2.49553,2.50593,1.98258,0.000643625,0.000643625,0.000643625
51,2469.56,1.84377,1.6699,1.53619,0.38582,0.36595,0.35698,0.12749,2.48333,2.4351,1.96657,0.00063125,0.00063125,0.00063125
52,2517.29,1.80118,1.64875,1.50065,0.36858,0.36429,0.34621,0.13648,2.51325,2.47213,2.04735,0.000618875,0.000618875,0.000618875
53,2565.04,1.81793,1.64266,1.53065,0.52739,0.32945,0.33084,0.12427,2.552,2.49503,2.08057,0.0006065,0.0006065,0.0006065
54,2614.18,1.83789,1.63404,1.52858,0.4327,0.31978,0.32221,0.12514,2.50983,2.51296,2.07661,0.000594125,0.000594125,0.000594125
55,2662.09,1.80851,1.61704,1.51264,0.30898,0.3611,0.29753,0.10883,2.50702,2.45053,2.01254,0.00058175,0.00058175,0.00058175
56,2711.79,1.81588,1.63236,1.51297,0.37272,0.30442,0.29413,0.11281,2.55377,2.5662,2.0646,0.000569375,0.000569375,0.000569375
57,2759.4,1.75864,1.5485,1.47774,0.29564,0.33454,0.28152,0.10282,2.42516,2.43615,1.99955,0.000557,0.000557,0.000557
58,2807.19,1.78833,1.5733,1.48112,0.36123,0.30728,0.29982,0.11406,2.45967,2.46107,1.99708,0.000544625,0.000544625,0.000544625
59,2855.1,1.74626,1.57279,1.49821,0.37954,0.37802,0.31189,0.11354,2.39084,2.54176,1.9692,0.00053225,0.00053225,0.00053225
60,2902.64,1.73943,1.54721,1.48897,0.45642,0.27194,0.30453,0.1073,2.50309,2.52245,2.07377,0.000519875,0.000519875,0.000519875
61,2950.41,1.77015,1.58552,1.48732,0.38766,0.29157,0.30903,0.10888,2.5305,2.53083,2.08022,0.0005075,0.0005075,0.0005075
62,2998.2,1.73724,1.53446,1.46556,0.44024,0.30061,0.32792,0.11492,2.50209,2.44834,2.08206,0.000495125,0.000495125,0.000495125
63,3046.37,1.77833,1.50693,1.46989,0.50689,0.34096,0.33845,0.12201,2.52883,2.50201,2.10117,0.00048275,0.00048275,0.00048275
64,3094.47,1.79,1.53697,1.48654,0.36666,0.34383,0.33579,0.11415,2.47423,2.50377,2.07813,0.000470375,0.000470375,0.000470375
65,3142.22,1.71628,1.47145,1.45838,0.33264,0.34034,0.30705,0.1135,2.52155,2.56853,2.09355,0.000458,0.000458,0.000458
66,3190.64,1.72098,1.4689,1.46412,0.45754,0.30418,0.31422,0.12457,2.51271,2.35389,2.08957,0.000445625,0.000445625,0.000445625
67,3238.29,1.72338,1.48712,1.44565,0.3598,0.26246,0.28323,0.11255,2.50866,2.42177,2.0773,0.00043325,0.00043325,0.00043325
68,3286.33,1.6992,1.4871,1.44049,0.43102,0.34851,0.33457,0.12371,2.4793,2.41275,2.04629,0.000420875,0.000420875,0.000420875
69,3334.3,1.70028,1.41011,1.43932,0.45662,0.35392,0.3426,0.11976,2.44945,2.371,2.04786,0.0004085,0.0004085,0.0004085
70,3382.08,1.72867,1.39475,1.44944,0.38133,0.32443,0.29132,0.11708,2.50839,2.46825,2.05166,0.000396125,0.000396125,0.000396125
71,3429.69,1.68351,1.42279,1.44038,0.53129,0.2893,0.33015,0.11807,2.4629,2.42657,2.06766,0.00038375,0.00038375,0.00038375
72,3477.3,1.67976,1.39558,1.42048,0.42286,0.40152,0.35156,0.12118,2.38582,2.48357,2.04664,0.000371375,0.000371375,0.000371375
73,3525.23,1.65734,1.39149,1.42015,0.53522,0.29594,0.33826,0.12445,2.43715,2.53287,2.04341,0.000359,0.000359,0.000359
74,3573.55,1.65547,1.39106,1.40267,0.46925,0.30916,0.33831,0.12358,2.42397,2.49904,2.00092,0.000346625,0.000346625,0.000346625
75,3621.38,1.65936,1.42201,1.43598,0.39125,0.32834,0.32641,0.12792,2.48845,2.45009,2.05917,0.00033425,0.00033425,0.00033425
76,3669.42,1.62535,1.32736,1.38983,0.43246,0.33168,0.3218,0.11882,2.49192,2.54193,2.0837,0.000321875,0.000321875,0.000321875
77,3717.28,1.67575,1.38311,1.42159,0.43319,0.32027,0.33091,0.1288,2.49098,2.55378,2.07678,0.0003095,0.0003095,0.0003095
