epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.7742,2.91464,4.29944,2.31079,0.37274,0.08036,0.08196,0.01981,2.81017,4.01974,2.34809,0.0671507,0.000331811,0.000331811
2,155.191,2.88077,3.89197,2.29444,0.1421,0.1433,0.11135,0.03414,2.79067,3.54475,2.37863,0.0341441,0.00065856,0.00065856
3,225.424,2.83875,3.76882,2.29117,0.87709,0.08407,0.11057,0.03743,2.69989,3.54859,2.29771,0.00113092,0.000978708,0.000978708
4,293.848,2.78998,3.79401,2.29803,0.65027,0.13036,0.12997,0.03686,2.6578,3.26268,2.16937,0.0009703,0.0009703,0.0009703
5,362.013,2.7626,3.71724,2.24253,0.20724,0.16424,0.13291,0.03967,2.60665,3.25112,2.11818,0.0009604,0.0009604,0.0009604
6,430.016,2.75575,3.60517,2.23716,0.43351,0.13757,0.13644,0.04056,2.58922,3.06768,2.16119,0.0009505,0.0009505,0.0009505
7,498.562,2.69387,3.57747,2.20186,0.22739,0.19146,0.16462,0.05035,2.66548,3.09801,2.17536,0.0009406,0.0009406,0.0009406
8,568.724,2.68798,3.59099,2.19938,0.17838,0.212,0.14548,0.03986,2.61531,3.23682,2.1235,0.0009307,0.0009307,0.0009307
9,636.775,2.64264,3.52424,2.16986,0.5454,0.14711,0.17378,0.06546,2.6231,3.10128,2.11774,0.0009208,0.0009208,0.0009208
10,704.973,2.60908,3.44329,2.12159,0.40265,0.18371,0.13144,0.03753,2.54603,3.07824,2.06704,0.0009109,0.0009109,0.0009109
11,773.005,2.60771,3.47603,2.13382,0.47779,0.16496,0.18006,0.06118,2.46687,2.89933,2.00859,0.000901,0.000901,0.000901
12,841.141,2.5757,3.35352,2.10936,0.21852,0.22061,0.1874,0.06684,2.49205,2.96591,2.02492,0.0008911,0.0008911,0.0008911
13,909.657,2.55908,3.36001,2.09899,0.2751,0.20911,0.20242,0.06496,2.54223,2.87844,2.03863,0.0008812,0.0008812,0.0008812
14,977.75,2.54172,3.30064,2.10845,0.39392,0.24667,0.23609,0.07231,2.59037,2.78042,2.09048,0.0008713,0.0008713,0.0008713
15,1045.69,2.50739,3.28288,2.07184,0.28172,0.26732,0.22016,0.07344,2.51113,2.85906,2.05728,0.0008614,0.0008614,0.0008614
16,1113.74,2.52115,3.34024,2.08498,0.32686,0.22875,0.22787,0.07319,2.45196,2.87333,2.04451,0.0008515,0.0008515,0.0008515
17,1182.1,2.50689,3.25398,2.04743,0.32463,0.32261,0.26944,0.07985,2.46167,2.652,2.00621,0.0008416,0.0008416,0.0008416
18,1249.96,2.49159,3.26084,2.04718,0.29578,0.28965,0.19212,0.06246,2.53506,2.96559,2.00133,0.0008317,0.0008317,0.0008317
19,1317.82,2.48003,3.17646,2.01626,0.32146,0.2247,0.2122,0.0709,2.37029,2.78098,1.9342,0.0008218,0.0008218,0.0008218
20,1386.01,2.48652,3.19497,2.02658,0.31164,0.22635,0.24269,0.08572,2.48378,2.73122,1.99027,0.0008119,0.0008119,0.0008119
21,1454.47,2.48105,3.18786,2.03429,0.26827,0.27312,0.21192,0.07069,2.43929,2.75531,1.98121,0.000802,0.000802,0.000802
22,1522.38,2.41491,3.11805,2.01415,0.27982,0.23623,0.21993,0.07318,2.4355,2.70281,2.05016,0.0007921,0.0007921,0.0007921
23,1590.48,2.41666,3.12465,2.00685,0.32732,0.25735,0.21846,0.07033,2.48547,2.71255,2.03508,0.0007822,0.0007822,0.0007822
24,1658.59,2.42068,3.08224,2.02057,0.35796,0.21534,0.23679,0.07918,2.4502,2.77834,1.99436,0.0007723,0.0007723,0.0007723
25,1726.48,2.40022,3.06571,2.00351,0.43662,0.22583,0.23052,0.07617,2.48208,2.66829,1.99887,0.0007624,0.0007624,0.0007624
26,1794.75,2.4362,3.07928,2.01376,0.36095,0.30954,0.26478,0.08411,2.52871,2.70078,2.01466,0.0007525,0.0007525,0.0007525
27,1863.36,2.38521,3.08793,1.99294,0.21481,0.26365,0.18911,0.05445,2.46136,3.26697,2.00244,0.0007426,0.0007426,0.0007426
28,1931.61,2.32962,2.98266,1.95041,0.34665,0.264,0.25209,0.07346,2.48687,2.78562,2.0128,0.0007327,0.0007327,0.0007327
29,1999.44,2.36347,2.99352,1.97347,0.26963,0.2225,0.19325,0.06456,2.38226,2.80335,1.94086,0.0007228,0.0007228,0.0007228
30,2067.69,2.35075,3.03965,1.98945,0.31901,0.26202,0.23609,0.08723,2.45638,2.65214,2.04301,0.0007129,0.0007129,0.0007129
31,2135.71,2.32833,2.97992,1.95862,0.29684,0.24572,0.20962,0.06543,2.3883,2.74033,1.992,0.000703,0.000703,0.000703
32,2203.65,2.32577,2.96236,1.9354,0.39815,0.18517,0.23161,0.08226,2.40169,2.64408,1.98611,0.0006931,0.0006931,0.0006931
33,2272.31,2.29831,2.93494,1.93865,0.31876,0.30926,0.25742,0.08254,2.44688,2.64808,2.00073,0.0006832,0.0006832,0.0006832
34,2342.02,2.3161,2.9416,1.96221,0.28137,0.32934,0.23587,0.07297,2.42059,2.70723,1.9917,0.0006733,0.0006733,0.0006733
35,2410.5,2.28651,2.9099,1.9247,0.35036,0.30375,0.27673,0.08951,2.39332,3.04733,1.97996,0.0006634,0.0006634,0.0006634
36,2478.62,2.30439,2.89967,1.93333,0.26392,0.28387,0.21058,0.07411,2.42698,2.59215,1.98207,0.0006535,0.0006535,0.0006535
37,2546.65,2.28575,2.84844,1.90442,0.33398,0.24485,0.23717,0.07694,2.45352,2.68194,1.9927,0.0006436,0.0006436,0.0006436
38,2614.75,2.27258,2.90576,1.93391,0.25895,0.26198,0.21194,0.06958,2.46692,2.78133,2.01654,0.0006337,0.0006337,0.0006337
39,2683.21,2.33038,2.88178,1.93372,0.28881,0.31082,0.26194,0.09953,2.42791,2.50803,2.01589,0.0006238,0.0006238,0.0006238
