epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5035,2.45366,4.07781,1.93624,0.25333,0.04261,0.13322,0.06639,2.61607,4.83625,2.21026,0.06766,0.000326667,0.000326667
2,108.17,2.41513,3.16967,1.87973,0.11789,0.10154,0.0874,0.02345,2.86929,3.53748,2.4278,0.0346535,0.000653466,0.000653466
3,157.827,2.44991,3.01145,1.92558,0.63534,0.1875,0.14299,0.04153,2.76785,3.67492,2.30274,0.00164033,0.000973665,0.000973665
4,208.805,2.4236,2.88053,1.91863,0.40793,0.1567,0.12355,0.0429,2.57899,3.92975,2.23581,0.0009703,0.0009703,0.0009703
5,257.051,2.4335,2.7475,1.92028,0.26215,0.19395,0.15825,0.03775,2.81771,4.89288,2.43703,0.0009604,0.0009604,0.0009604
6,305.179,2.37317,2.72447,1.9207,0.43541,0.17094,0.12131,0.03155,2.76369,3.44537,2.29053,0.0009505,0.0009505,0.0009505
7,353.246,2.37192,2.72672,1.90936,0.28105,0.21447,0.20635,0.05842,2.63342,3.10149,2.15492,0.0009406,0.0009406,0.0009406
8,401.243,2.32812,2.64279,1.85363,0.5222,0.14641,0.18655,0.05558,2.7206,3.68112,2.17691,0.0009307,0.0009307,0.0009307
9,449.274,2.3119,2.57037,1.80558,0.19366,0.20469,0.14138,0.03957,2.65997,3.11793,2.12138,0.0009208,0.0009208,0.0009208
10,497.357,2.31437,2.60672,1.87942,0.3303,0.19328,0.18226,0.05446,2.70219,3.23849,2.2152,0.0009109,0.0009109,0.0009109
11,545.378,2.28845,2.51132,1.87323,0.27079,0.25614,0.18338,0.04713,2.71199,3.02332,2.15431,0.000901,0.000901,0.000901
12,593.419,2.21526,2.44155,1.7787,0.30869,0.2582,0.21804,0.0612,2.61973,2.82554,2.13708,0.0008911,0.0008911,0.0008911
13,641.776,2.21174,2.39682,1.75902,0.33506,0.24639,0.23023,0.07815,2.59661,2.7755,2.11284,0.0008812,0.0008812,0.0008812
14,689.985,2.22429,2.44099,1.78108,0.20354,0.28902,0.19319,0.05618,2.64673,2.85385,2.07377,0.0008713,0.0008713,0.0008713
15,738.468,2.21285,2.36236,1.7918,0.35237,0.2359,0.22403,0.07273,2.66329,3.07804,2.15961,0.0008614,0.0008614,0.0008614
16,786.916,2.14659,2.30211,1.73609,0.30529,0.27447,0.21526,0.07164,2.61929,2.77503,2.12665,0.0008515,0.0008515,0.0008515
